Diameter (ft),Rings,Bin Model,Bushels,U.S. Tons Corn,Metric Tons Corn,U.S. Tons Wheat,Metric Tons Wheat,Low Floor,High Floor,"Eave Height (ft, inches)",Eave Height (m),"Fill Height (ft, inches)",Fill Height (m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom
33,7,7-03307,"15,579",411.5,373.3,439,398.2,"14,756","14,475","18'10""",5.73,"27'11""",8.5,10.05839968,28.84524525,Narrow,Flat
33,8,7-03308,"17,498",462.2,419.3,493,447.3,"16,676","16,395","21'6""",6.55,"30'6""",9.3,10.05839968,28.67013255,Narrow,Flat
33,9,7-03309,"19,418",512.9,465.3,547.1,496.3,"18,595","18,314","24'2""",7.38,"33'2""",10.12,10.05839968,28.58235596,Narrow,Flat
33,10,7-03310,"21,337",563.6,511.3,601.2,545.4,"20,515","20,233","26'10""",8.17,"35'11""",10.94,10.05839968,28.84524525,Narrow,Flat
33,11,7-03311,"23,257",614.3,557.3,655.3,594.5,"22,434","22,153","29'6""",8.99,"38'6""",11.73,10.05839968,28.58235596,Narrow,Flat
33,12,7-03312,"25,176",665,603.3,709.4,643.5,"24,353","24,072","32'2""",9.81,"41'2""",12.56,10.05839968,28.67013255,Narrow,Flat
33,13,7-03313,"27,096",715.7,649.3,763.5,692.6,"26,273","25,992","34'10""",10.61,"43'11""",13.38,10.05839968,28.84524525,Narrow,Flat
36,4,7-03604,"11,915",314.7,285.5,335.7,304.6,"10,936","10,602","10'10""",3.29,"20'8""",6.31,10.97279965,28.83067497,Narrow,Flat
36,5,7-03605,"14,200",375.1,340.3,400.1,363,"13,221","12,886","13'6""",4.11,"23'5""",7.13,10.97279965,28.83067497,Narrow,Flat
36,6,7-03606,"16,484",435.4,395,464.5,421.4,"15,505","15,171","16'2""",4.94,"26'0""",7.92,10.97279965,28.50909667,Narrow,Flat
36,7,7-03607,"18,769",495.8,449.8,528.8,479.8,"17,790","17,455","18'10""",5.73,"28'8""",8.75,10.97279965,28.83067497,Narrow,Flat
36,8,7-03608,"21,054",556.1,504.5,593.2,538.2,"20,075","19,740","21'6""",6.55,"31'5""",9.57,10.97279965,28.83067497,Narrow,Flat
36,9,7-03609,"23,338",616.5,559.3,657.6,596.6,"22,359","22,024","24'2""",7.38,"34'0""",10.36,10.97279965,28.50909667,Narrow,Flat
36,10,7-03610,"25,623",676.8,614,722,655,"24,644","24,309","26'10""",8.17,"36'8""",11.19,10.97279965,28.83067497,Narrow,Flat
36,11,7-03611,"27,907",737.2,668.8,786.3,713.4,"26,928","26,594","29'6""",8.99,"39'5""",12.01,10.97279965,28.83067497,Narrow,Flat
36,12,7-03612,"30,192",797.5,723.5,850.7,771.7,"29,213","28,878","32'2""",9.81,"42'0""",12.8,10.97279965,28.58967628,Narrow,Flat
36,13,7-03613,"32,476",857.9,778.3,915.1,830.1,"31,497","31,163","34'10""",10.61,"44'8""",13.62,10.97279965,28.75046546,Narrow,Flat
42,4,7-04204,"16,838",444.8,403.5,474.4,430.4,"15,505","15,050","10'10""",3.29,"22'6""",6.86,12.80159959,29.15027847,Narrow,Flat
42,5,7-04205,"19,948",526.9,478,562.1,509.9,"18,615","18,160","13'6""",4.11,"25'2""",7.68,12.80159959,29.15027847,Narrow,Flat
42,6,7-04206,"23,058",609.1,552.6,649.7,589.4,"21,726","21,270","16'2""",4.94,"27'10""",8.47,12.80159959,28.87645356,Narrow,Flat
42,7,7-04207,"26,169",691.3,627.1,737.3,668.9,"24,836","24,380","18'10""",5.73,"30'6""",9.3,12.80159959,29.15027847,Narrow,Flat
42,8,7-04208,"29,279",773.4,701.6,825,748.4,"27,946","27,490","21'6""",6.55,"33'2""",10.12,12.80159959,29.15027847,Narrow,Flat
